number,position,player,club
1,GK,Raúl Rangel,Guadalajara
12,GK,Carlos Acevedo,Santos Laguna
13,GK,Guillermo Ochoa,AEL Limassol
2,DF,Jorge Sánchez,PAOK
3,DF,César Montes,Lokomotiv Moscow
4,DF,Edson Álvarez (C),Fenerbahçe
5,DF,Johan Vásquez,Genoa
15,DF,Israel Reyes,América
20,DF,Mateo Chávez,AZ
23,DF,Jesús Gallardo,Toluca
6,MF,Érik Lira,Cruz Azul
7,MF,Luis Romo,Guadalajara
8,MF,Álvaro Fidalgo,Real Betis
17,MF,Orbelín Pineda,AEK Athens
18,MF,Obed Vargas,Atlético Madrid
19,MF,Gilberto Mora,Tijuana
24,MF,Luis Chávez,Dynamo Moscow
26,MF,Brian Gutiérrez,Guadalajara
9,FW,Raúl Jiménez,Fulham
10,FW,Alexis Vega,Toluca
11,FW,Santiago Giménez,Milan
14,FW,Armando González,Guadalajara
16,FW,Julián Quiñones,Al-Qadsiah
21,FW,César Huerta,Anderlecht
22,FW,Guillermo Martínez,UNAM
25,FW,Roberto Alvarado,Guadalajara
